Date,Close,Volume
1772,35.352,56995768.0
1773,36.169,61530808.0
1774,35.819,53959968.0
1775,35.702,62223632.0
1776,33.641,56939516.0
1777,33.68,30604508.0
1778,33.991,31274132.0
1779,34.068,22912062.0
1780,33.407,22876378.0
1781,32.863,17752588.0
1782,31.852,21712680.0
1783,28.663,33272252.0
1784,27.224,32408396.0
1785,26.213,30289432.0
1786,25.279,17945202.0
1787,24.579,17720092.0
1788,22.946,19776962.0
1789,24.54,33454824.0
1790,22.09,21637162.0
1791,22.751,26377102.0
1792,22.946,18167994.0
1793,24.112,25483618.0
1794,25.24,37200332.0
1795,25.201,32803706.0
1796,22.673,27990126.0
1797,23.062,13286917.0
1798,23.451,27590348.0
1799,23.529,25570012.0
1800,24.385,33004856.0
1801,25.046,42730516.0
1802,26.485,53271496.0
1803,26.368,47589940.0
1804,26.718,49065404.0
1805,27.185,71598952.0
1806,26.096,47702508.0
1807,26.251,26765254.0
1808,25.201,41148320.0
1809,23.296,36979956.0
1810,22.44,26895780.0
1811,23.373,24794254.0
1812,25.24,65446980.0
1813,25.279,65437520.0
1814,24.774,43539340.0
1815,25.201,41300516.0
1816,24.19,41035996.0
1817,25.824,88960336.0
1818,24.968,79645288.0
1819,25.707,101892088.0
1820,24.579,51766688.0
1821,24.735,46696136.0
1822,23.607,26123526.0
1823,23.179,25780148.0
1824,22.79,22351992.0
1825,23.296,19938704.0
1826,20.962,43300432.0
1827,18.862,30493014.0
1828,17.968,26528256.0
1829,17.773,24530828.0
1830,17.501,13321651.0
1831,17.501,0.0
1832,15.751,17080216.0
1833,15.517,19584340.0
1834,17.073,33629156.0
1835,15.79,27074788.0
1836,16.295,25369408.0
1837,16.179,13579084.0
1838,15.284,16261990.0
1839,14.817,36707620.0
1840,14.351,17503782.0
1841,15.09,24395340.0
